FlightID,Airline,Origin,Destination,ScheduledDeparture,DelayMinutes,DelayCause
AI1107,Vistara,COK,PNQ,2023-01-05 11:00:00,9,Technical
AI1108,IndiGo,COK,BLR,2023-01-05 12:00:00,13,Weather
AI1109,Vistara,PNQ,AMD,2023-01-05 13:00:00,20,Crew
AI1110,Vistara,COK,MAA,2023-01-05 14:00:00,16,Technical
AI1111,IndiGo,MAA,GOI,2023-01-05 15:00:00,14,Weather
AI1112,Vistara,BLR,MAA,2023-01-05 16:00:00,12,Crew
AI1113,Go First,PNQ,GOI,2023-01-05 17:00:00,14,Technical
AI1114,Air India,BOM,COK,2023-01-05 18:00:00,14,Weather
AI1115,Air India,GOI,HYD,2023-01-05 19:00:00,10,Reactionary
AI1116,IndiGo,COK,GOI,2023-01-05 20:00:00,12,Reactionary
AI1117,SpiceJet,COK,MAA,2023-01-05 21:00:00,14,Technical
AI1118,IndiGo,DEL,COK,2023-01-05 22:00:00,13,Weather
AI1119,SpiceJet,CCU,GOI,2023-01-05 23:00:00,18,Crew
AI1120,Air India,PNQ,BLR,2023-01-06 00:00:00,14,Technical
AI1121,IndiGo,AMD,HYD,2023-01-06 01:00:00,16,ATC Congestion
AI1122,Akasa Air,COK,GOI,2023-01-06 02:00:00,10,Technical
AI1123,Go First,GOI,COK,2023-01-06 03:00:00,7,Technical
AI1124,Vistara,BOM,CCU,2023-01-06 04:00:00,11,Technical
AI1125,SpiceJet,COK,BOM,2023-01-06 05:00:00,9,ATC Congestion
AI1126,Akasa Air,BOM,PNQ,2023-01-06 06:00:00,16,Technical
AI1127,Vistara,MAA,BOM,2023-01-06 07:00:00,14,Reactionary
AI1128,Vistara,MAA,BOM,2023-01-06 08:00:00,17,ATC Congestion
AI1129,IndiGo,CCU,DEL,2023-01-06 09:00:00,16,Crew
AI1131,Go First,AMD,CCU,2023-01-06 11:00:00,15,Technical
AI1132,Akasa Air,DEL,AMD,2023-01-06 12:00:00,10,ATC Congestion
AI1133,Vistara,CCU,GOI,2023-01-06 13:00:00,10,Technical
AI1134,IndiGo,HYD,PNQ,2023-01-06 14:00:00,18,Technical
AI1135,Go First,DEL,HYD,2023-01-06 15:00:00,12,Security
AI1136,Air India,PNQ,CCU,2023-01-06 16:00:00,18,Technical
AI1137,Akasa Air,GOI,MAA,2023-01-06 17:00:00,19,Reactionary
AI1138,Vistara,HYD,AMD,2023-01-06 18:00:00,16,Weather
AI1139,IndiGo,HYD,DEL,2023-01-06 19:00:00,10,Weather
AI1140,Air India,CCU,DEL,2023-01-06 20:00:00,13,Technical
AI1141,Air India,BLR,CCU,2023-01-06 21:00:00,9,ATC Congestion
AI1142,SpiceJet,CCU,COK,2023-01-06 22:00:00,9,ATC Congestion
AI1143,Go First,PNQ,BOM,2023-01-06 23:00:00,14,ATC Congestion
AI1144,Vistara,COK,MAA,2023-01-07 00:00:00,20,ATC Congestion
AI1145,IndiGo,COK,DEL,2023-01-07 01:00:00,20,Weather
AI1146,SpiceJet,BLR,PNQ,2023-01-07 02:00:00,12,Reactionary
AI1147,Go First,PNQ,DEL,2023-01-07 03:00:00,13,ATC Congestion
AI1148,SpiceJet,BLR,HYD,2023-01-07 04:00:00,16,Crew
AI1149,Akasa Air,BOM,GOI,2023-01-07 05:00:00,14,Crew
AI1150,Go First,COK,DEL,2023-01-07 06:00:00,16,Reactionary
AI1152,Vistara,AMD,CCU,2023-01-07 08:00:00,16,Security
AI1153,Go First,GOI,CCU,2023-01-07 09:00:00,17,Technical
AI1154,SpiceJet,PNQ,AMD,2023-01-07 10:00:00,15,Technical
AI1156,Vistara,BLR,PNQ,2023-01-07 12:00:00,9,Security
AI1157,Vistara,GOI,DEL,2023-01-07 13:00:00,15,ATC Congestion
AI1158,Akasa Air,DEL,PNQ,2023-01-07 14:00:00,15,Crew
AI1159,SpiceJet,GOI,BLR,2023-01-07 15:00:00,16,Technical
AI1161,Air India,DEL,BLR,2023-01-07 17:00:00,19,Reactionary
AI1162,Go First,CCU,DEL,2023-01-07 18:00:00,21,ATC Congestion
AI1163,Akasa Air,MAA,AMD,2023-01-07 19:00:00,24,Reactionary
AI1164,IndiGo,CCU,BLR,2023-01-07 20:00:00,14,Weather
AI1165,Go First,COK,BOM,2023-01-07 21:00:00,15,Weather
AI1166,Akasa Air,MAA,DEL,2023-01-07 22:00:00,11,Weather
AI1167,SpiceJet,CCU,BLR,2023-01-07 23:00:00,15,ATC Congestion
AI1168,SpiceJet,MAA,BOM,2023-01-08 00:00:00,22,Technical
AI1169,SpiceJet,MAA,BOM,2023-01-08 01:00:00,16,Weather
AI1170,SpiceJet,HYD,CCU,2023-01-08 02:00:00,18,Weather
AI1171,SpiceJet,BLR,DEL,2023-01-08 03:00:00,15,Reactionary
AI1172,Akasa Air,BLR,BOM,2023-01-08 04:00:00,11,Security
AI1173,Akasa Air,HYD,CCU,2023-01-08 05:00:00,19,Security
AI1174,Vistara,GOI,BLR,2023-01-08 06:00:00,22,Security
AI1175,Air India,BOM,HYD,2023-01-08 07:00:00,9,Crew
AI1176,SpiceJet,GOI,DEL,2023-01-08 08:00:00,13,Weather
AI1177,IndiGo,DEL,AMD,2023-01-08 09:00:00,9,ATC Congestion
AI1178,Akasa Air,DEL,PNQ,2023-01-08 10:00:00,17,Crew
AI1179,IndiGo,MAA,PNQ,2023-01-08 11:00:00,16,ATC Congestion
AI1180,IndiGo,CCU,BLR,2023-01-08 12:00:00,17,Crew
AI1181,IndiGo,CCU,COK,2023-01-08 13:00:00,13,Weather
AI1182,Vistara,BLR,COK,2023-01-08 14:00:00,18,ATC Congestion
AI1183,Akasa Air,PNQ,BLR,2023-01-08 15:00:00,12,Technical
AI1184,IndiGo,GOI,BOM,2023-01-08 16:00:00,17,Technical
AI1185,SpiceJet,COK,DEL,2023-01-08 17:00:00,18,Technical
AI1186,Go First,AMD,PNQ,2023-01-08 18:00:00,14,Crew
AI1187,IndiGo,CCU,PNQ,2023-01-08 19:00:00,12,Weather
AI1188,Vistara,AMD,BOM,2023-01-08 20:00:00,15,Weather
AI1189,Akasa Air,MAA,PNQ,2023-01-08 21:00:00,11,Security
AI1191,IndiGo,COK,DEL,2023-01-08 23:00:00,17,Weather
AI1192,Akasa Air,HYD,GOI,2023-01-09 00:00:00,16,Security
AI1193,Go First,COK,PNQ,2023-01-09 01:00:00,10,ATC Congestion
AI1194,IndiGo,AMD,BLR,2023-01-09 02:00:00,16,Technical
AI1195,Vistara,COK,AMD,2023-01-09 03:00:00,14,Weather
AI1196,Air India,BOM,PNQ,2023-01-09 04:00:00,18,Crew
AI1197,SpiceJet,MAA,AMD,2023-01-09 05:00:00,13,Crew
AI1198,Vistara,GOI,CCU,2023-01-09 06:00:00,16,ATC Congestion
AI1199,Akasa Air,HYD,GOI,2023-01-09 07:00:00,21,Security
AI1200,IndiGo,CCU,MAA,2023-01-09 08:00:00,12,ATC Congestion
AI1201,SpiceJet,DEL,BLR,2023-01-09 09:00:00,16,ATC Congestion
AI1202,IndiGo,GOI,BLR,2023-01-09 10:00:00,13,Weather
AI1204,IndiGo,MAA,AMD,2023-01-09 12:00:00,19,Weather
AI1205,Air India,HYD,BOM,2023-01-09 13:00:00,8,Technical
AI1207,SpiceJet,CCU,AMD,2023-01-09 15:00:00,17,Technical
AI1208,Akasa Air,BOM,AMD,2023-01-09 16:00:00,14,ATC Congestion
AI1209,Air India,BLR,HYD,2023-01-09 17:00:00,7,Weather
AI1210,Vistara,MAA,HYD,2023-01-09 18:00:00,14,ATC Congestion
AI1211,IndiGo,GOI,MAA,2023-01-09 19:00:00,16,ATC Congestion
AI1212,Go First,BOM,CCU,2023-01-09 20:00:00,18,Crew
AI1213,IndiGo,COK,MAA,2023-01-09 21:00:00,14,Weather
AI1214,IndiGo,AMD,PNQ,2023-01-09 22:00:00,19,Crew
AI1216,IndiGo,MAA,PNQ,2023-01-10 00:00:00,18,Technical
AI1217,Air India,PNQ,COK,2023-01-10 01:00:00,17,Security
AI1218,Air India,AMD,PNQ,2023-01-10 02:00:00,12,Technical
AI1220,Akasa Air,CCU,PNQ,2023-01-10 04:00:00,15,Technical
AI1221,Go First,DEL,MAA,2023-01-10 05:00:00,7,Technical
AI1222,IndiGo,BOM,BLR,2023-01-10 06:00:00,12,ATC Congestion
AI1223,IndiGo,DEL,BLR,2023-01-10 07:00:00,14,ATC Congestion
AI1224,Vistara,MAA,HYD,2023-01-10 08:00:00,12,ATC Congestion
AI1225,Akasa Air,COK,BOM,2023-01-10 09:00:00,19,Technical
AI1226,Air India,GOI,BOM,2023-01-10 10:00:00,16,Weather
AI1227,Go First,CCU,DEL,2023-01-10 11:00:00,14,Reactionary
AI1228,SpiceJet,DEL,MAA,2023-01-10 12:00:00,14,Crew
AI1229,Air India,DEL,HYD,2023-01-10 13:00:00,16,ATC Congestion
AI1230,Akasa Air,BOM,COK,2023-01-10 14:00:00,15,Weather
AI1231,SpiceJet,GOI,BOM,2023-01-10 15:00:00,10,Security
AI1233,Vistara,DEL,PNQ,2023-01-10 17:00:00,16,Crew
AI1234,IndiGo,MAA,PNQ,2023-01-10 18:00:00,13,ATC Congestion
AI1235,Akasa Air,PNQ,HYD,2023-01-10 19:00:00,19,ATC Congestion
AI1236,Go First,CCU,MAA,2023-01-10 20:00:00,17,Weather
AI1237,SpiceJet,DEL,MAA,2023-01-10 21:00:00,15,Weather
AI1238,Air India,MAA,CCU,2023-01-10 22:00:00,12,Crew
AI1239,Akasa Air,MAA,GOI,2023-01-10 23:00:00,18,Crew
AI1240,Akasa Air,CCU,BOM,2023-01-11 00:00:00,20,Technical
AI1241,Vistara,BLR,MAA,2023-01-11 01:00:00,20,Security
AI1242,IndiGo,MAA,BLR,2023-01-11 02:00:00,13,Technical
AI1243,IndiGo,PNQ,HYD,2023-01-11 03:00:00,16,Technical
AI1244,SpiceJet,MAA,COK,2023-01-11 04:00:00,11,ATC Congestion
AI1245,Vistara,MAA,CCU,2023-01-11 05:00:00,18,Reactionary
AI1246,Akasa Air,MAA,AMD,2023-01-11 06:00:00,12,Weather
AI1247,Go First,COK,DEL,2023-01-11 07:00:00,11,Reactionary
AI1249,SpiceJet,BLR,AMD,2023-01-11 09:00:00,11,Weather
AI1250,SpiceJet,DEL,PNQ,2023-01-11 10:00:00,16,Technical
AI1251,Vistara,MAA,DEL,2023-01-11 11:00:00,12,Security
AI1252,SpiceJet,GOI,BOM,2023-01-11 12:00:00,11,Technical
AI1253,Vistara,DEL,BLR,2023-01-11 13:00:00,14,Reactionary
AI1254,Air India,BLR,DEL,2023-01-11 14:00:00,13,Reactionary
AI1255,Vistara,HYD,GOI,2023-01-11 15:00:00,15,ATC Congestion
AI1256,Vistara,DEL,AMD,2023-01-11 16:00:00,14,ATC Congestion
AI1257,SpiceJet,DEL,BOM,2023-01-11 17:00:00,12,Reactionary
AI1258,SpiceJet,AMD,GOI,2023-01-11 18:00:00,14,Crew
AI1259,IndiGo,BOM,PNQ,2023-01-11 19:00:00,16,Weather
AI1260,IndiGo,AMD,GOI,2023-01-11 20:00:00,11,Weather
AI1261,Air India,PNQ,CCU,2023-01-11 21:00:00,13,Technical
AI1262,IndiGo,COK,CCU,2023-01-11 22:00:00,16,Reactionary
AI1263,Vistara,COK,HYD,2023-01-11 23:00:00,7,Security
AI1264,SpiceJet,BOM,COK,2023-01-12 00:00:00,13,Crew
AI1265,IndiGo,CCU,COK,2023-01-12 01:00:00,17,Weather
AI1266,IndiGo,CCU,BOM,2023-01-12 02:00:00,12,ATC Congestion
AI1267,Air India,BLR,PNQ,2023-01-12 03:00:00,10,Security
AI1268,Akasa Air,BOM,MAA,2023-01-12 04:00:00,12,Weather
AI1269,Air India,DEL,CCU,2023-01-12 05:00:00,19,ATC Congestion
AI1270,Vistara,CCU,BOM,2023-01-12 06:00:00,20,Weather
AI1272,Air India,GOI,COK,2023-01-12 08:00:00,9,Reactionary
AI1273,IndiGo,DEL,HYD,2023-01-12 09:00:00,8,ATC Congestion
AI1274,SpiceJet,PNQ,GOI,2023-01-12 10:00:00,22,Technical
AI1275,SpiceJet,MAA,CCU,2023-01-12 11:00:00,18,Technical
AI1276,IndiGo,MAA,BOM,2023-01-12 12:00:00,15,Reactionary
AI1277,Air India,BOM,DEL,2023-01-12 13:00:00,14,Weather
AI1278,IndiGo,BLR,MAA,2023-01-12 14:00:00,21,Technical
AI1279,Akasa Air,PNQ,GOI,2023-01-12 15:00:00,20,ATC Congestion
AI1281,Go First,BOM,COK,2023-01-12 17:00:00,18,Technical
AI1282,Go First,CCU,PNQ,2023-01-12 18:00:00,19,Weather
AI1283,Vistara,BOM,MAA,2023-01-12 19:00:00,14,Technical
AI1284,IndiGo,BOM,COK,2023-01-12 20:00:00,13,Crew
AI1285,IndiGo,BOM,CCU,2023-01-12 21:00:00,16,Weather
AI1286,Vistara,BLR,MAA,2023-01-12 22:00:00,8,Security
AI1287,Vistara,BOM,GOI,2023-01-12 23:00:00,8,Weather
AI1288,Vistara,HYD,CCU,2023-01-13 00:00:00,17,Technical
AI1289,SpiceJet,GOI,AMD,2023-01-13 01:00:00,12,ATC Congestion
AI1290,Akasa Air,CCU,BOM,2023-01-13 02:00:00,15,Crew
AI1291,IndiGo,DEL,GOI,2023-01-13 03:00:00,13,ATC Congestion
AI1292,SpiceJet,AMD,MAA,2023-01-13 04:00:00,15,Security
AI1295,SpiceJet,BLR,DEL,2023-01-13 07:00:00,10,Crew
AI1296,Akasa Air,DEL,COK,2023-01-13 08:00:00,9,Crew
AI1298,Akasa Air,HYD,COK,2023-01-13 10:00:00,16,ATC Congestion
AI1299,Vistara,COK,BOM,2023-01-13 11:00:00,10,Reactionary
AI1300,Akasa Air,AMD,CCU,2023-01-13 12:00:00,22,Weather
AI1302,Vistara,COK,BLR,2023-01-13 14:00:00,13,Reactionary
AI1303,IndiGo,DEL,MAA,2023-01-13 15:00:00,12,Weather
AI1305,Air India,AMD,BLR,2023-01-13 17:00:00,16,Technical
AI1306,Akasa Air,MAA,COK,2023-01-13 18:00:00,7,Technical
AI1307,Air India,BOM,MAA,2023-01-13 19:00:00,18,Weather
AI1308,Air India,CCU,AMD,2023-01-13 20:00:00,15,Weather
AI1309,Akasa Air,MAA,HYD,2023-01-13 21:00:00,9,Crew
AI1310,Vistara,BOM,DEL,2023-01-13 22:00:00,15,Security
AI1311,Go First,BLR,PNQ,2023-01-13 23:00:00,13,Crew
AI1312,IndiGo,GOI,AMD,2023-01-14 00:00:00,18,Technical
AI1313,SpiceJet,PNQ,BLR,2023-01-14 01:00:00,16,Weather
AI1314,IndiGo,PNQ,CCU,2023-01-14 02:00:00,10,Crew
AI1315,SpiceJet,CCU,BOM,2023-01-14 03:00:00,16,ATC Congestion
AI1316,IndiGo,AMD,PNQ,2023-01-14 04:00:00,14,Reactionary
AI1317,Akasa Air,HYD,AMD,2023-01-14 05:00:00,16,Security
AI1318,Go First,AMD,CCU,2023-01-14 06:00:00,12,Crew
AI1319,SpiceJet,HYD,CCU,2023-01-14 07:00:00,20,Reactionary
AI1320,Vistara,AMD,MAA,2023-01-14 08:00:00,13,Weather
AI1321,IndiGo,GOI,AMD,2023-01-14 09:00:00,19,Crew
AI1322,IndiGo,BLR,DEL,2023-01-14 10:00:00,17,ATC Congestion
AI1323,SpiceJet,BLR,COK,2023-01-14 11:00:00,15,Reactionary
AI1324,Vistara,BOM,HYD,2023-01-14 12:00:00,19,ATC Congestion
AI1325,Vistara,COK,HYD,2023-01-14 13:00:00,18,Crew
AI1328,Akasa Air,MAA,HYD,2023-01-14 16:00:00,15,ATC Congestion
AI1329,Akasa Air,MAA,DEL,2023-01-14 17:00:00,14,Crew
AI1331,Akasa Air,COK,GOI,2023-01-14 19:00:00,10,ATC Congestion
AI1332,Go First,CCU,COK,2023-01-14 20:00:00,11,ATC Congestion
AI1333,Vistara,MAA,BOM,2023-01-14 21:00:00,14,Weather
AI1334,Akasa Air,CCU,MAA,2023-01-14 22:00:00,15,Security
AI1335,Vistara,DEL,GOI,2023-01-14 23:00:00,9,Technical
AI1336,Vistara,MAA,GOI,2023-01-15 00:00:00,17,Weather
AI1337,Air India,GOI,AMD,2023-01-15 01:00:00,15,ATC Congestion
AI1338,Go First,COK,DEL,2023-01-15 02:00:00,16,ATC Congestion
AI1339,Akasa Air,BOM,DEL,2023-01-15 03:00:00,13,Weather
AI1340,IndiGo,DEL,GOI,2023-01-15 04:00:00,10,ATC Congestion
AI1341,SpiceJet,COK,AMD,2023-01-15 05:00:00,15,ATC Congestion
AI1342,IndiGo,GOI,COK,2023-01-15 06:00:00,10,ATC Congestion
AI1343,Go First,COK,GOI,2023-01-15 07:00:00,12,Crew
AI1344,SpiceJet,GOI,PNQ,2023-01-15 08:00:00,18,ATC Congestion
AI1345,Go First,GOI,BLR,2023-01-15 09:00:00,13,Technical
AI1346,Vistara,CCU,BLR,2023-01-15 10:00:00,17,Technical
AI1347,SpiceJet,AMD,BOM,2023-01-15 11:00:00,11,Technical
AI1348,Vistara,DEL,MAA,2023-01-15 12:00:00,11,Crew
AI1349,IndiGo,COK,BLR,2023-01-15 13:00:00,17,Technical
AI1350,IndiGo,HYD,CCU,2023-01-15 14:00:00,16,Security
AI1351,SpiceJet,DEL,BOM,2023-01-15 15:00:00,22,Crew
AI1352,SpiceJet,AMD,BLR,2023-01-15 16:00:00,11,Technical
AI1353,Akasa Air,DEL,MAA,2023-01-15 17:00:00,14,Security
AI1354,Go First,BLR,DEL,2023-01-15 18:00:00,14,Technical
AI1355,Akasa Air,HYD,DEL,2023-01-15 19:00:00,17,ATC Congestion
AI1356,Go First,AMD,COK,2023-01-15 20:00:00,21,ATC Congestion
AI1357,Akasa Air,CCU,GOI,2023-01-15 21:00:00,11,Weather
AI1358,Vistara,COK,PNQ,2023-01-15 22:00:00,14,Security
AI1359,SpiceJet,PNQ,DEL,2023-01-15 23:00:00,15,Crew
AI1361,Go First,BOM,BLR,2023-01-16 01:00:00,12,Technical
AI1362,Go First,COK,AMD,2023-01-16 02:00:00,14,Technical
AI1363,IndiGo,AMD,MAA,2023-01-16 03:00:00,12,Weather
AI1364,Akasa Air,BLR,DEL,2023-01-16 04:00:00,20,Crew
AI1366,Vistara,BLR,MAA,2023-01-16 06:00:00,13,Reactionary
AI1367,SpiceJet,PNQ,CCU,2023-01-16 07:00:00,18,ATC Congestion
AI1368,IndiGo,BOM,CCU,2023-01-16 08:00:00,12,Technical
AI1369,SpiceJet,COK,AMD,2023-01-16 09:00:00,15,Crew
AI1370,Go First,CCU,GOI,2023-01-16 10:00:00,20,Technical
AI1371,Go First,BLR,BOM,2023-01-16 11:00:00,16,Technical
AI1372,IndiGo,BLR,GOI,2023-01-16 12:00:00,18,Crew
AI1373,Vistara,GOI,COK,2023-01-16 13:00:00,13,ATC Congestion
AI1374,Air India,PNQ,GOI,2023-01-16 14:00:00,11,Crew
AI1375,IndiGo,MAA,COK,2023-01-16 15:00:00,18,Technical
AI1378,Air India,GOI,DEL,2023-01-16 18:00:00,15,ATC Congestion
AI1379,Vistara,DEL,PNQ,2023-01-16 19:00:00,15,ATC Congestion
AI1380,Akasa Air,PNQ,COK,2023-01-16 20:00:00,14,Reactionary
AI1381,Air India,CCU,MAA,2023-01-16 21:00:00,17,Technical
AI1382,Akasa Air,COK,CCU,2023-01-16 22:00:00,14,Reactionary
AI1383,Air India,GOI,COK,2023-01-16 23:00:00,12,Weather
AI1384,Vistara,DEL,PNQ,2023-01-17 00:00:00,9,Technical
AI1385,Air India,HYD,MAA,2023-01-17 01:00:00,15,Security
AI1386,Air India,GOI,PNQ,2023-01-17 02:00:00,20,Reactionary
AI1387,Air India,HYD,GOI,2023-01-17 03:00:00,18,ATC Congestion
AI1388,IndiGo,COK,BLR,2023-01-17 04:00:00,17,Crew
AI1389,IndiGo,BLR,AMD,2023-01-17 05:00:00,16,Technical
AI1390,IndiGo,GOI,BOM,2023-01-17 06:00:00,16,Weather
AI1391,Vistara,BOM,PNQ,2023-01-17 07:00:00,9,Crew
AI1392,Akasa Air,HYD,BOM,2023-01-17 08:00:00,12,Crew
AI1393,Go First,CCU,HYD,2023-01-17 09:00:00,19,Reactionary
AI1394,Air India,BOM,PNQ,2023-01-17 10:00:00,14,Technical
AI1395,Air India,AMD,BLR,2023-01-17 11:00:00,9,ATC Congestion
AI1396,Vistara,AMD,BOM,2023-01-17 12:00:00,11,Weather
AI1397,Air India,DEL,COK,2023-01-17 13:00:00,9,ATC Congestion
AI1398,IndiGo,BLR,PNQ,2023-01-17 14:00:00,18,ATC Congestion
AI1399,Go First,COK,DEL,2023-01-17 15:00:00,13,Crew
AI1400,SpiceJet,GOI,AMD,2023-01-17 16:00:00,15,ATC Congestion
